0.1	24.97	140.34
0.2	17.93	136.76
0.3	48.76	139.29
0.4	14.62	141.99
0.5	35.75	139.41
0.6	56.23	142.88
0.7	19.44	111.96
0.8	63.91	132.74
0.9	87.47	83.65
1	78.07	39.56
1.1	37.61	47.05
1.2	51.17	46.26
1.3	62.13	42.79
1.4	76.04	38.01
1.5	53.16	33.33
1.6	42.9	31.81
1.7	57.17	6.07
1.8	75.15	7.36
1.9	81.93	7.38
2	36.43	7.25
2.1	25.13	4.93
2.2	45.54	7.4
2.3	33.93	33.11
2.4	38.75	44.37
2.5	58.97	34.83
2.6	40.3	52.96
2.7	46.93	71.09
2.8	69.31	73.02
2.9	37.53	102.87
3	56.83	98.03
3.1	20.17	123.03
3.2	49.56	104.16
3.3	47.79	117.15
3.4	58.29	129.79
3.5	29.95	135.29
