0.1	53.95	86.13
0.2	41.17	90.71
0.3	51.86	116.97
0.4	49.56	124.08
0.5	23.25	129.72
0.6	42.91	137.16
0.7	46.93	133.16
0.8	29.01	147.91
0.9	69.77	148.63
1	44.95	151.33
1.1	77.92	153.78
1.2	43.5	154.99
1.3	79.07	155.52
1.4	82.39	157.1
1.5	71.85	160.88
1.6	102.35	163.21
1.7	106.47	164.68
1.8	39.6	165.33
1.9	65.03	163.85
2	82.85	161.39
2.1	58.33	158.99
2.2	39.84	153.5
2.3	15.75	146.81
2.4	69.02	143.87
2.5	65.81	140.86
2.6	27.91	139.8
2.7	43.66	128.84
2.8	60.45	128.61
2.9	49.15	125.71
3	30.64	123.1
3.1	59.01	121.67
3.2	62.65	116.61
3.3	42.76	107.27
3.4	56.39	116.23
3.5	72.3	116.33
3.6	51.71	112
3.7	51.18	86.07
