0.1	42.11	116.31
0.2	93.44	110.02
0.3	43.38	104.68
0.4	80.22	141.32
0.5	82.82	102.06
0.6	70.95	95.95
0.7	99.09	77.82
0.8	64.57	72.99
0.9	76.78	58.26
1	65.52	56.66
1.1	66.14	57.47
1.2	48.75	57.1
1.3	61.61	50.34
1.4	27.78	51.62
1.5	69.08	49.85
1.6	57.09	47.68
1.7	81.43	47.85
1.8	57.67	50.03
1.9	44.78	51.72
2	60.32	64.9
2.1	25.35	65.94
2.2	50.91	67.51
2.3	49.71	69.57
2.4	24.39	72.94
2.5	36.31	75.36
2.6	39.15	77
2.7	48.41	83.31
2.8	48.68	90.08
2.9	55.33	97.66
3	64.71	102.88
3.1	71.04	95.81
3.2	29.84	108.15
3.3	65.26	111.09
3.4	31.54	113.23
3.5	37.22	116.28
3.6	35.43	120.69
3.7	55.39	123.37
