0	12.0	95.0	-12.0	91.0	4.0	-16.0	3.0	40.0	97.52
1	-27.0	-94.0	-12.0	50.0	7.0	4.0	10.0	-25.0	107.96
2	-71.0	-87.0	18.0	64.0	-3.0	2.0	-6.0	-19.0	106.7
3	-28.0	-72.0	47.0	-16.0	-17.0	5.0	-5.0	9.0	107.54
4	-128.0	127.0	-71.0	40.0	5.0	-29.0	-5.0	22.0	108.39
5	84.0	8.0	-29.0	-55.0	18.0	16.0	-8.0	4.0	108.61
6	19.0	71.0	-19.0	-30.0	14.0	-16.0	13.0	-24.0	108.62
7	21.0	114.0	61.0	-67.0	-11.0	-12.0	-14.0	-21.0	108.8
8	-4.0	-48.0	39.0	8.0	0.0	-11.0	-36.0	16.0	108.15
9	-41.0	46.0	23.0	-16.0	25.0	39.0	-43.0	13.0	107.41
10	33.0	-106.0	19.0	-53.0	-22.0	-3.0	28.0	-19.0	108.37
11	115.0	91.0	5.0	-15.0	12.0	37.0	12.0	7.0	102.89
12	-48.0	2.0	-96.0	-4.0	27.0	-40.0	60.0	14.0	108.61
13	64.0	-30.0	3.0	-10.0	18.0	-13.0	10.0	-26.0	107.54
14	34.0	-104.0	-12.0	-49.0	22.0	32.0	6.0	-59.0	108.39
15	-76.0	12.0	42.0	44.0	-3.0	-9.0	12.0	8.0	107.96
16	71.0	-80.0	-60.0	-75.0	20.0	9.0	-3.0	-85.0	106.37
17	-51.0	-73.0	-25.0	-56.0	-9.0	-14.0	8.0	6.0	100.29
18	28.0	-90.0	31.0	-36.0	5.0	0.0	-24.0	-26.0	107.24
19	3.0	26.0	-19.0	3.0	-41.0	5.0	17.0	-12.0	107.41
20	100.0	26.0	-9.0	-62.0	-6.0	-34.0	-6.0	39.0	102.41
21	18.0	-128.0	110.0	0.0	-1.0	37.0	23.0	-17.0	101.12
22	39.0	47.0	82.0	30.0	24.0	-13.0	-13.0	-15.0	108.47
23	4.0	-66.0	69.0	3.0	-10.0	8.0	-10.0	58.0	102.49
24	-71.0	-85.0	-32.0	45.0	-2.0	-33.0	-16.0	24.0	94.01
